Entity,Attribute,Container,Qualifier,Reference,DOM,Type,Default,Description,Values
,lastDays,,,,,<FILTER>,,Returns transactions limited to a specified number of last days. Default is last 30 days.,
,amount,,,,transactionAmount,<COMPONENT>Money,,The transaction amount,
,description,,,,,<COMPONENT>SingleDescription,,Description of the transaction,
,meerkatDescription,,,,meerkatDescriptionExt,<COMPONENT>MeerkatDescription,,Description of the transaction,
,date,,,postDate;transactionDate,transDate,,,This is the date on which the transaction was posted or made,
,container,,,,,<FILTER>,,,
,containerName,,,,containerNameExt,,,,
,isManual,,,,manualExt,boolean,,,
,checkNumber,,,,,,,,
,categorySource,,,,categorySourceExt,,,,
,postDate,,,,,,,,
,transactionDate,,,,transDate,,,,
,cusipNumber,,,,,,,A unique number to identify the issuer.,
,price,,,,,<COMPONENT>Money,,The price of the security for the transaction,
,tagId,,,,tag.tagId,,,,
,quantity,,,,,,,Number of units of security purchased in the transaction,
,symbol,,,,,,,The symbol for the security of the transaction.,
,holding,,,,holdingTypeId,<ENUM>holdingType,,,
,lotHandling,,,,lotHandlingId,<ENUM>lotHandling,,,
,netCost,,,,,<COMPONENT>Money,,The price of the security for the transaction,
,customDescription,,,,plainTextDescription,,,Transaction description as available from the Data source system,
,originalDescriptionParent,,,,manualTransactionRequest.description.original,,,Transaction description as available from the Data source system,
,simpleDescriptionParent,,,,manualTransactionRequest.description.simple,,,Transaction description as available from the Data source system,
,highLevelCategoryId,,,,hLTxnCategoryIdExt,,,,
,highLevelCategoryName,,,,hLTxnCategoryNameExt,,,,
,categoryType,,,,transactionCategory.transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,customCategoryId,,,,,,,,
,category,,,,transactionCategoryNameExt,,,,
,frequency,,,,manualTransactionRequest.frequencyTypeId,<ENUM>frequencyType,,,
,endDate,,,,manualTransactionRequest.endDate,,,,
,memo,,,,,,,,
,isDeleted,,,,,,,,
,manualTransactionSource,,,,,<FILTER>,,,
,txnSource,,,,transactionSourceId,,,,
,recurringEventId,,,,manualTransactionRequestId,,,,
,reconStatus,,,,reconStatusIdExt,,,,
,reconciledStatus,,,,,<FILTER>,,,
,sourceType,,,,sourceTypeExt,,,,
,merchant,,,,,<ENTITY>RecurringEventMerchant,,,
,meerkatType,,,,meerkatTypeExt,,,,
,mktType,,,,meerkatTxnTypeId,<ENUM>meerkatTxnType,,,
,subType,,,,meerkatTxnSubTypeId,<ENUM>meerkatTxnSubType,,,
,status,,,,,<FILTER>,,,
,balancex,,,,balanceExt,<COMPONENT>Money,,,
,isAsset,,,,isAssetExt,,,,
,parentCategoryId,,,,parentCategoryIdExt,,,,
RecurringEvents,,,,,ManualTransactionRequest,,<ORDER BY>desc startDate,,
,id,,,,manualTransactionRequestId,,,,
,accountId,,,,itemAccountId,,,,
,sourceType,,,,txnSourceId,,,,
,sourceTypeExt,,,,txnSourceIdExt,,,,
,userApprovalStatus,,,,userApprovalExt,,,,
,userApproval,,,,,,,,
,recurringEventStatus,,,,statusIdExt,,,,
,eventStatus,,,,,<FILTER>,,,
,containerName,,,,containerNameExt,,,,
,startDate,,,,,<COMPONENT>Date,,,
,endDate,,,,,<COMPONENT>Date,,,
,baseType,,,,transactionBaseTypeIdExt,<ENUM>transactionBaseType,,,
,txnBaseType,,,,,<FILTER>,,,
,amount,,,,recurringTxnAmountExt,<COMPONENT>Money,,,
,averageAmount,,,,recurringTxnAvgAmountExt,<COMPONENT>Money,,,
,lastTransactionAmount,,,,lastRecurringTxnAmountExt,<COMPONENT>Money,,,
,amountVariance,,,,recurringTxnAmountVarianceExt,,,,
,description,,,,,<COMPONENT>SimpleDescription,,,
,meerkatDescription,,,,meerkatDescriptionExt,<COMPONENT>MeerkatDescription,,Description of the transaction,
,frequency,,,,frequencyTypeId,<ENUM>FrequencyType,,,
,createdDate,,,,rowCreated,<COMPONENT>Date,,,
,lastUpdatedDate,,,,rowLastUpdated,<COMPONENT>Date,,,
,lastTransactionDate,,,,lastTransDate,<COMPONENT>Date,,,
,transactionCategory,,,,,<ENTITY>TransactionCategory,,Category assigned to the transaction,
,categoryLevelId,,,,,,,,
,categoryId,,,,txnCategoryIdExt,,,,
,category,,,,txnCategoryNameExt,,,,
,highLevelCategoryName,,,,transactionCategory.transactionCategoryId,,,,
,categoryType,,,,transactionCategory.transactionCategoryTypeId,<ENUM>transactionCategoryType,,,
,customCategoryId,,,,,,,,
,categorySource,,,,categorySourceExt,,,,
,confidenceLevel,,,,,,,,
,userConfidenceLevel,,,,confidenceLevelExt,,,,
,subType,,,,txnCategorySubTypeId,<ENUM>meerkatTxnSubType,,,
,type,,,,txnCategoryTypeId,<ENUM>meerkatTxnType,,,
,merchant,,,,,<ENTITY>RecurringEventMerchant,,,
,memo,,,,,,,,
,referenceId,,,,sourceTransactionId,,,,
,nextTransactionId,,,,nextInstanceIdExt,,,,
,confidence,,,,confidencePercentage,,,,
,,,,,,,,,
RecurringEventMerchant,,,,,Merchant,,,,
,id,,,,..meerkatMerchant.sourceMerchantId;merchantId,,,,
,name,,,,..meerkatMerchant.merchantName;merchantName,,,,
,address,,,,..meerkatMerchant.address,<COMPONENT>SimpleAddress,,,
,source,,..bank,,merchantSourceNameExt,,,,
,source,,..creditCard,,merchantSourceNameExt,,,,
,source,,,,merchantSourceNameExt,,,,
,sourceMeerkatMerchantId,,,,..meerkatMerchant.meerkatMerchantId,,,,
,sourceMerchantId,,,,merchantId,,,,
,categoryLabel,,,,..meerkatMerchant.categoryLabels,,,,
,coordinates,,,,..meerkatMerchant.coordinates,<COMPONENT>Coordinates,,,
